Type;N;J;GFLOPS;Memory Performance
AdditionJ;16777216;8;733.255;439.953
Multiplication;16777216;8;739.872;443.923
MultiplicationJ;16777216;8;599.066;359.44
Addition;16777216;16;734.57;440.742
AdditionJ;16777216;16;732.737;439.642
Multiplication;16777216;16;615.029;369.018
MultiplicationJ;16777216;16;726.739;436.044
Addition;16777216;32;744.897;446.938
AdditionJ;16777216;32;657.208;394.325
Multiplication;16777216;32;740.394;444.237
MultiplicationJ;16777216;32;731.469;438.882
Addition;33554432;1;743.637;446.182
AdditionJ;33554432;1;669.764;401.858
Multiplication;33554432;1;743.489;446.093
MultiplicationJ;33554432;1;706.664;423.998
Addition;33554432;2;645.357;387.214
AdditionJ;33554432;2;741.449;444.87
Multiplication;33554432;2;719.793;431.876
MultiplicationJ;33554432;2;655.635;393.381
Addition;33554432;4;699.599;419.759
AdditionJ;33554432;4;737.867;442.72
Multiplication;33554432;4;659.461;395.677
MultiplicationJ;33554432;4;741.122;444.673
Addition;33554432;8;742.37;445.422
AdditionJ;33554432;8;654.511;392.707
Multiplication;33554432;8;710.892;426.535
MultiplicationJ;33554432;8;729.15;437.49
Addition;33554432;16;642.644;385.586
AdditionJ;33554432;16;719.817;431.89
Multiplication;33554432;16;690.543;414.326
MultiplicationJ;33554432;16;652.948;391.769
Addition;33554432;32;743.882;446.329
AdditionJ;33554432;32;736.538;441.923
Multiplication;33554432;32;665.003;399.002
MultiplicationJ;33554432;32;734.312;440.587
Addition;67108864;1;745.036;447.021
AdditionJ;67108864;1;690.009;414.006
Multiplication;67108864;1;682.53;409.518
MultiplicationJ;67108864;1;718.163;430.898
Addition;67108864;2;744.604;446.763
AdditionJ;67108864;2;680.399;408.239
Multiplication;67108864;2;706.778;424.067
MultiplicationJ;67108864;2;743.84;446.304
Addition;67108864;4;743.058;445.835
AdditionJ;67108864;4;694.128;416.477
Multiplication;67108864;4;692.298;415.379
MultiplicationJ;67108864;4;716.052;429.631
Addition;67108864;8;744.914;446.948
AdditionJ;67108864;8;690.181;414.108
Multiplication;67108864;8;701.974;421.185
MultiplicationJ;67108864;8;720.974;432.585
Addition;67108864;16;744.942;446.965
AdditionJ;67108864;16;684.566;410.74
Multiplication;67108864;16;691.972;415.183
MultiplicationJ;67108864;16;702.313;421.388
Addition;67108864;32;745.368;447.221
AdditionJ;67108864;32;682.18;409.308
Multiplication;67108864;32;695.305;417.183
MultiplicationJ;67108864;32;736.444;441.866
Addition;134217728;1;717.142;430.285
AdditionJ;134217728;1;711.015;426.609
Multiplication;134217728;1;715.693;429.416
MultiplicationJ;134217728;1;719.84;431.904
Addition;134217728;2;686.259;411.756
AdditionJ;134217728;2;703.839;422.303
Multiplication;134217728;2;687.885;412.731
MultiplicationJ;134217728;2;716.633;429.98
Addition;134217728;4;712.314;427.388
AdditionJ;134217728;4;716.128;429.677
Multiplication;134217728;4;713.114;427.868
MultiplicationJ;134217728;4;714.819;428.891
Addition;134217728;8;711.832;427.099
